ref,description,part_number,manufacturer,qty,unit_chf,ext_chf,distributor,notes
U1,Raspberry Pi Pico W,SC0918,Raspberry Pi,1,5.50,5.50,Distrelec / Mouser,Pico W with WiFi; castellated pads
U2,16-bit I2C ADC 4ch VSSOP-10,ADS1115IDGSR,Texas Instruments,1,1.50,1.50,Mouser 595-ADS1115IDGSR,I2C addr 0x48 (ADDR to GND)
U3,EC analog frontend SPI SOIC-14,LMP91200SD/NOPB,Texas Instruments,1,3.50,0.00,Mouser 926-LMP91200SDNOPB,**DNP v1** — EOL/unavailable (May 2026); footprint retained for v2 AD5933 redesign
U4,Op-amp FET-in rail-to-rail SC70-5,AD8603ARTZ-R2,Analog Devices,1,1.20,1.20,Mouser 584-AD8603ARTZ-R2,pH unity-gain buffer; single supply 3.3V
U5,LDO 3.3V 600mA SOT-23-5,AP2112K-3.3TRG1,Diodes Inc.,1,0.40,0.40,Mouser 621-AP2112K-3.3TRG1,Separate analog 3V3 rail
D1,Dual series ESD diode SOT-23,BAV99,Nexperia,1,0.10,0.10,Mouser 771-BAV99215,pH input protection (GND / VCC clamp)
D2,Signal diode SOD-123,1N4148W,Vishay,1,0.05,0.05,Mouser 78-1N4148W-E3-08,Relay flyback
Q1,NPN BJT SOT-23,BC817-40,ON Semiconductor,1,0.10,0.10,Mouser 512-BC817-40LT1G,Relay driver
K1,SPDT relay 5V coil PCB mount,SRD-05VDC-SL-C,Songle,1,0.50,0.50,Reichelt / AliExpress,5V coil from VSYS; contacts rated 10A 250VAC
J1,BNC female right-angle PCB mount,5-1634500-1,TE Connectivity,1,0.80,0.80,Mouser 571-51634500-1,pH sensor connector
J2-J7,Wago 3-pin push-in 5mm pitch,2060-453/998-404,Wago,6,0.60,3.60,Distrelec / Wago direct,Wago ports 1-6 (VCC GND Signal)
J8,4-pin terminal block 3.5mm pitch,PT 1.5/4-3.5-H,Phoenix Contact,1,0.40,0.40,Mouser 651-1984617,EC sensor 4-wire connection
R1-R2,Resistor 10M 0603 1%,RC0603FR-0710ML,Yageo,2,0.05,0.10,Mouser 603-RC0603FR-0710ML,pH input protection
R3-R4,Resistor 100k 0603 1%,RC0603FR-07100KL,Yageo,4,0.02,0.08,Mouser 603-RC0603FR-07100KL,VREF divider + AD8603 summing node
R5-R9,Resistor 10k 0603 1%,RC0603FR-0710KL,Yageo,7,0.02,0.14,Mouser 603-RC0603FR-0710KL,I2C pullups / NTC pullup / SPI idle
R10-R11,Resistor 4.7k 0603 1%,RC0603FR-074K7L,Yageo,2,0.02,0.04,Mouser 603-RC0603FR-074K7L,I2C bus pullups
R12-R14,Resistor 1k 0603 1%,RC0603FR-071KL,Yageo,3,0.02,0.06,Mouser 603-RC0603FR-071KL,Relay base drive + misc
R15-R16,Resistor 10k 0603 1% (RC filter),RC0603FR-0710KL,Yageo,2,0.02,0.00,Mouser 603-RC0603FR-0710KL,**DNP v1** — EC PWM RC filter (GP13/GP14 to LMP91200)
C1-C2 C6-C12,Cap 100nF 0603 X7R 25V,GRM188R71E104KA01D,Murata,9,0.05,0.45,Mouser 81-GRM188R71E104KA1D,Decoupling + VREF filter
C3-C5,Cap 100nF 0603 X7R 25V,GRM188R71E104KA01D,Murata,3,0.05,0.00,Mouser 81-GRM188R71E104KA1D,**DNP v1** — C3+C4 EC RC filter; C5 LMP91200 VDD decoupling
C13-C16,Cap 10uF 0805 X5R 10V,GRM21BR61A106KE18L,Murata,4,0.10,0.40,Mouser 81-GRM21BR61A106KE8L,Bulk decoupling at power entry
C17-C18,Cap 1uF 0603 X5R 10V,GRM188R61A105KA61D,Murata,2,0.08,0.16,Mouser 81-GRM188R61A105KA61D,LDO output stability
PCB,2-layer FR4 ENIG 100x80mm (qty 10),Custom,JLCPCB,1,1.50,1.50,jlcpcb.com,2-layer 1.6mm; order 10 minimum
HDR1,2.54mm 1x4 debug header,PEC04SAAN,Sullins,1,0.20,0.20,Mouser 538-22-28-4040,UART0 TX RX + GND + 3V3
U6,Ambient light sensor I2C ODFN-6,VEML7700-TT,Vishay,1,0.80,0.80,Mouser 782-VEML7700-TT,I2C addr 0x10 (fixed; no ADDR pin). GP15 now spare. Replaces BH1750 — better stock availability
Q2,P-channel MOSFET SOT-23,BSS84PXUMA1,Infineon,1,0.10,0.10,Mouser 771-BSS84PXUMA1,PIR power gate (GP12); Vgs(th) -0.8 to -2.5V; Id -130mA; source→3V3_DIG drain→PIR VCC
R17,Resistor 10k 0603 1%,RC0603FR-0710KL,Yageo,1,0.02,0.02,Mouser 603-RC0603FR-0710KL,BSS84 gate pull-up to 3V3_DIG — keeps PIR off while Pico boots
J9,2-pin screw terminal 5mm pitch,PT 1.5/2-5-H,Phoenix Contact,1,0.30,0.30,Mouser (verify SKU),VSYS + GND PCB-side input; connects to Bulgin PX0441 panel connector via short cable
,,,,,,,,
,,TOTAL,,,,18.60,,Excluding enclosure and cable glands; DNP items at 0.00
